timestamp,type,event_number,adc,elapsed_ms,dead_time_ms,temperature,pressure,detector_id
2026-09-05 11:43:09,T,2800,126,2373846,1688,28.6,1021.7,56-614-135
2026-09-05 11:43:09,B,3331,245,2373939,3581,28.6,1021.7,56-614-135
2026-09-05 11:43:09,T,2801,96,2374204,1688,28.6,1021.7,56-614-135
2026-09-05 11:43:09,B,3332,107,2374378,3581,28.6,1021.7,56-614-135
2026-09-05 11:43:09,T,2802,439,2374543,1688,28.6,1021.7,56-614-135
2026-09-05 11:43:09,B,3333,368,2374543,3581,28.6,1021.7,56-614-135
2026-09-05 11:43:09,C,494,403,2374543,2634,28.6,1021.7,56-614-135
2026-09-05 11:43:10,B,3334,73,2375386,3583,28.6,1021.7,56-614-135
2026-09-05 11:43:10,B,3335,72,2375406,3583,28.6,1021.7,56-614-135
2026-09-05 11:43:10,B,3336,55,2375471,3583,28.6,1021.7,56-614-135
2026-09-05 11:43:11,B,3337,57,2376355,3584,28.6,1021.6,56-614-135
2026-09-05 11:43:12,B,3338,68,2376724,3584,28.6,1021.6,56-614-135
2026-09-05 11:43:12,T,2803,57,2377063,1688,28.6,1021.6,56-614-135
2026-09-05 11:43:13,B,3339,521,2378566,3587,28.6,1021.6,56-614-135
2026-09-05 11:43:13,B,3340,308,2378698,3587,28.6,1021.6,56-614-135
2026-09-05 11:43:14,B,3341,306,2378727,3593,28.6,1021.6,56-614-135
2026-09-05 11:43:14,B,3342,86,2378836,3593,28.6,1021.6,56-614-135
2026-09-05 11:43:14,T,2804,206,2378933,1689,28.6,1021.6,56-614-135
2026-09-05 11:43:14,T,2805,360,2379284,1689,28.6,1021.6,56-614-135
2026-09-05 11:43:14,B,3343,376,2379284,3593,28.6,1021.6,56-614-135
2026-09-05 11:43:14,C,495,368,2379284,2641,28.6,1021.6,56-614-135
2026-09-05 11:43:14,B,3344,610,2379294,3593,28.6,1021.6,56-614-135
2026-09-05 11:43:14,B,3345,319,2379408,3593,28.6,1021.6,56-614-135
2026-09-05 11:43:14,T,2806,53,2379421,1689,28.6,1021.6,56-614-135
2026-09-05 11:43:16,T,2807,168,2380866,1690,28.6,1021.7,56-614-135
2026-09-05 11:43:16,B,3346,163,2380885,3596,28.6,1021.7,56-614-135
2026-09-05 11:43:16,B,3347,340,2381012,3596,28.6,1021.7,56-614-135
2026-09-05 11:43:17,T,2808,246,2382285,1690,28.6,1021.7,56-614-135
2026-09-05 11:43:18,B,3348,294,2382948,3598,28.6,1021.7,56-614-135
2026-09-05 11:43:18,B,3349,126,2383361,3598,28.6,1021.7,56-614-135
2026-09-05 11:43:19,T,2809,239,2383807,1691,28.6,1021.7,56-614-135
2026-09-05 11:43:19,T,2810,133,2384458,1691,28.6,1021.7,56-614-135
2026-09-05 11:43:20,B,3350,142,2385607,3599,28.6,1021.7,56-614-135
2026-09-05 11:43:21,B,3351,84,2386337,3600,28.6,1021.7,56-614-135
2026-09-05 11:43:21,T,2811,73,2386346,1692,28.6,1021.7,56-614-135
2026-09-05 11:43:22,T,2812,367,2387153,1694,28.6,1021.7,56-614-135
2026-09-05 11:43:22,B,3352,418,2387153,3602,28.6,1021.7,56-614-135
2026-09-05 11:43:22,C,496,392,2387153,2648,28.6,1021.7,56-614-135
2026-09-05 11:43:22,T,2813,90,2387217,1694,28.6,1021.7,56-614-135
2026-09-05 11:43:22,T,2814,451,2387589,1694,28.6,1021.7,56-614-135
2026-09-05 11:43:22,B,3353,62,2387680,3602,28.6,1021.7,56-614-135
2026-09-05 11:43:24,T,2815,177,2389157,1694,28.6,1021.7,56-614-135
2026-09-05 11:43:24,B,3354,513,2389494,3604,28.6,1021.7,56-614-135
2026-09-05 11:43:24,B,3355,164,2389544,3604,28.6,1021.7,56-614-135
2026-09-05 11:43:25,T,2816,89,2389842,1694,28.6,1021.7,56-614-135
2026-09-05 11:43:26,T,2817,297,2390905,1695,28.6,1021.7,56-614-135
2026-09-05 11:43:26,B,3356,339,2390905,3605,28.6,1021.7,56-614-135
2026-09-05 11:43:26,C,497,318,2390905,2650,28.6,1021.7,56-614-135
2026-09-05 11:43:28,B,3357,126,2393714,3606,28.6,1021.7,56-614-135
2026-09-05 11:43:30,B,3358,374,2395130,3609,28.6,1021.7,56-614-135
2026-09-05 11:43:30,B,3359,271,2395782,3609,28.6,1021.7,56-614-135
2026-09-05 11:43:32,T,2818,253,2396941,1697,28.6,1021.7,56-614-135
2026-09-05 11:43:32,T,2819,531,2396997,1697,28.6,1021.7,56-614-135
2026-09-05 11:43:32,T,2820,127,2397445,1697,28.6,1021.7,56-614-135
2026-09-05 11:43:33,T,2821,642,2397922,1699,28.6,1021.7,56-614-135
2026-09-05 11:43:33,B,3360,574,2397922,3613,28.6,1021.7,56-614-135
2026-09-05 11:43:33,C,498,608,2397922,2656,28.6,1021.7,56-614-135
2026-09-05 11:43:33,T,2822,99,2397943,1699,28.6,1021.7,56-614-135
2026-09-05 11:43:33,B,3361,86,2398295,3613,28.6,1021.7,56-614-135
2026-09-05 11:43:33,B,3362,291,2398759,3613,28.6,1021.7,56-614-135
2026-09-05 11:43:33,T,2823,73,2398791,1699,28.6,1021.7,56-614-135
2026-09-05 11:43:34,T,2824,344,2398953,1700,28.6,1021.7,56-614-135
2026-09-05 11:43:34,B,3363,522,2399785,3615,28.6,1021.7,56-614-135
2026-09-05 11:43:35,B,3364,100,2399827,3615,28.6,1021.7,56-614-135
2026-09-05 11:43:36,T,2825,166,2399946,1700,28.6,1021.7,56-614-135
2026-09-05 11:43:37,B,3365,59,2401073,3618,28.6,1021.7,56-614-135
2026-09-05 11:43:37,B,3366,188,2401081,3618,28.6,1021.7,56-614-135
2026-09-05 11:43:37,B,3367,602,2401893,3618,28.6,1021.7,56-614-135
2026-09-05 11:43:38,T,2826,100,2402420,1700,28.6,1021.7,56-614-135
2026-09-05 11:43:39,T,2827,262,2403069,1701,28.6,1021.7,56-614-135
2026-09-05 11:43:39,B,3368,148,2403727,3619,28.6,1021.7,56-614-135
2026-09-05 11:43:40,B,3369,527,2404106,3622,28.6,1021.7,56-614-135
2026-09-05 11:43:40,B,3370,545,2404830,3622,28.6,1021.7,56-614-135
2026-09-05 11:43:41,T,2828,230,2405487,1702,28.6,1021.7,56-614-135
2026-09-05 11:43:41,B,3371,356,2405763,3623,28.6,1021.7,56-614-135
2026-09-05 11:43:42,B,3372,140,2406069,3624,28.6,1021.7,56-614-135
2026-09-05 11:43:42,T,2829,57,2406807,1702,28.6,1021.7,56-614-135
2026-09-05 11:43:43,B,3373,316,2407181,3628,28.6,1021.7,56-614-135
2026-09-05 11:43:43,B,3374,667,2407457,3628,28.6,1021.7,56-614-135
2026-09-05 11:43:43,B,3375,152,2407573,3628,28.6,1021.7,56-614-135
2026-09-05 11:43:43,T,2830,273,2407679,1703,28.6,1021.7,56-614-135
2026-09-05 11:43:44,T,2831,112,2408123,1705,28.6,1021.7,56-614-135
2026-09-05 11:43:44,B,3376,778,2408529,3633,28.6,1021.7,56-614-135
2026-09-05 11:43:44,B,3377,690,2408706,3633,28.6,1021.7,56-614-135
2026-09-05 11:43:44,T,2832,351,2408706,1705,28.6,1021.7,56-614-135
2026-09-05 11:43:44,T,2833,411,2409027,1705,28.6,1021.7,56-614-135
2026-09-05 11:43:44,B,3378,531,2409027,3633,28.6,1021.7,56-614-135
2026-09-05 11:43:44,C,499,471,2409027,2669,28.6,1021.7,56-614-135
2026-09-05 11:43:45,T,2834,456,2409134,1706,28.6,1021.7,56-614-135
2026-09-05 11:43:45,B,3379,561,2409134,3636,28.6,1021.7,56-614-135
2026-09-05 11:43:45,C,500,508,2409134,2671,28.6,1021.7,56-614-135
2026-09-05 11:43:45,B,3380,344,2409377,3636,28.6,1021.7,56-614-135
2026-09-05 11:43:46,T,2835,168,2410102,1709,28.6,1021.7,56-614-135
2026-09-05 11:43:46,T,2836,426,2410115,1709,28.6,1021.7,56-614-135
2026-09-05 11:43:46,B,3381,358,2410115,3639,28.6,1021.7,56-614-135
2026-09-05 11:43:46,C,501,392,2410115,2674,28.6,1021.7,56-614-135
2026-09-05 11:43:46,T,2837,82,2410174,1709,28.6,1021.7,56-614-135
2026-09-05 11:43:46,T,2838,573,2410291,1709,28.6,1021.7,56-614-135
2026-09-05 11:43:46,T,2839,182,2410500,1709,28.6,1021.7,56-614-135
2026-09-05 11:43:46,B,3382,70,2410664,3639,28.6,1021.7,56-614-135
2026-09-05 11:43:46,B,3383,83,2410876,3639,28.6,1021.7,56-614-135
2026-09-05 11:43:47,T,2840,130,2411239,1710,28.6,1021.7,56-614-135
2026-09-05 11:43:47,B,3384,56,2411302,3642,28.6,1021.7,56-614-135
2026-09-05 11:43:47,B,3385,69,2411505,3642,28.6,1021.7,56-614-135
2026-09-05 11:43:47,T,2841,93,2411762,1710,28.6,1021.7,56-614-135
2026-09-05 11:43:47,B,3386,748,2411815,3642,28.6,1021.7,56-614-135
2026-09-05 11:43:47,B,3387,105,2411844,3642,28.6,1021.7,56-614-135
2026-09-05 11:43:48,T,2842,210,2412517,1711,28.6,1021.7,56-614-135
2026-09-05 11:43:48,T,2843,64,2412557,1711,28.6,1021.7,56-614-135
2026-09-05 11:43:48,T,2844,494,2412789,1711,28.6,1021.7,56-614-135
2026-09-05 11:43:48,B,3388,417,2412789,3644,28.6,1021.7,56-614-135
2026-09-05 11:43:48,C,502,455,2412789,2678,28.6,1021.7,56-614-135
2026-09-05 11:43:49,T,2845,54,2413142,1711,28.6,1021.7,56-614-135
2026-09-05 11:43:50,T,2846,438,2414879,1712,28.6,1021.7,56-614-135
2026-09-05 11:43:51,T,2847,52,2415856,1712,28.6,1021.7,56-614-135
2026-09-05 11:43:52,T,2848,76,2416313,1712,28.6,1021.7,56-614-135
2026-09-05 11:43:52,B,3389,113,2416987,3645,28.6,1021.7,56-614-135
2026-09-05 11:43:53,T,2849,420,2417256,1714,28.6,1021.7,56-614-135
2026-09-05 11:43:53,B,3390,431,2417256,3646,28.6,1021.7,56-614-135
2026-09-05 11:43:53,C,503,425,2417256,2680,28.6,1021.7,56-614-135
2026-09-05 11:43:53,T,2850,259,2417787,1714,28.6,1021.7,56-614-135
2026-09-05 11:43:54,B,3391,144,2418254,3648,28.6,1021.7,56-614-135
2026-09-05 11:43:54,B,3392,50,2419123,3648,28.6,1021.7,56-614-135
2026-09-05 11:43:56,B,3393,64,2420841,3648,28.6,1021.7,56-614-135
2026-09-05 11:43:58,T,2851,52,2422430,1714,28.7,1021.7,56-614-135
2026-09-05 11:43:59,B,3394,607,2423342,3653,28.7,1021.7,56-614-135
2026-09-05 11:43:59,B,3395,65,2423464,3653,28.7,1021.7,56-614-135
2026-09-05 11:43:59,B,3396,126,2423774,3653,28.7,1021.7,56-614-135
2026-09-05 11:43:59,B,3397,205,2424122,3653,28.7,1021.7,56-614-135
2026-09-05 11:44:00,T,2852,500,2424229,1715,28.7,1021.7,56-614-135
2026-09-05 11:44:00,B,3398,809,2424229,3654,28.7,1021.7,56-614-135
2026-09-05 11:44:00,C,504,655,2424229,2685,28.7,1021.7,56-614-135
2026-09-05 11:44:01,T,2853,500,2425240,1716,28.7,1021.7,56-614-135
2026-09-05 11:44:01,B,3399,290,2425530,3655,28.7,1021.7,56-614-135
2026-09-05 11:44:01,T,2854,109,2425815,1716,28.7,1021.7,56-614-135
2026-09-05 11:44:02,B,3400,429,2426736,3657,28.7,1021.7,56-614-135
2026-09-05 11:44:03,T,2855,94,2427732,1717,28.7,1021.7,56-614-135
2026-09-05 11:44:04,B,3401,279,2428785,3659,28.7,1021.7,56-614-135
2026-09-05 11:44:04,B,3402,112,2429086,3659,28.7,1021.7,56-614-135
2026-09-05 11:44:05,B,3403,68,2429723,3660,28.7,1021.7,56-614-135
2026-09-05 11:44:05,B,3404,74,2429739,3660,28.7,1021.7,56-614-135
2026-09-05 11:44:06,T,2856,65,2430604,1717,28.7,1021.7,56-614-135
2026-09-05 11:44:06,T,2857,100,2431056,1717,28.7,1021.7,56-614-135
2026-09-05 11:44:07,T,2858,519,2431835,1718,28.7,1021.7,56-614-135
2026-09-05 11:44:07,T,2859,98,2432157,1718,28.7,1021.7,56-614-135
2026-09-05 11:44:08,B,3405,206,2433063,3661,28.7,1021.7,56-614-135
2026-09-05 11:44:08,T,2860,437,2433081,1719,28.7,1021.7,56-614-135
2026-09-05 11:44:09,T,2861,128,2433610,1720,28.7,1021.7,56-614-135
2026-09-05 11:44:09,B,3406,60,2433961,3664,28.7,1021.7,56-614-135
2026-09-05 11:44:09,B,3407,488,2434166,3664,28.7,1021.7,56-614-135
2026-09-05 11:44:11,B,3408,93,2436022,3664,28.7,1021.7,56-614-135
2026-09-05 11:44:11,B,3409,299,2436354,3664,28.7,1021.7,56-614-135
2026-09-05 11:44:12,T,2862,60,2436898,1720,28.7,1021.7,56-614-135
2026-09-05 11:44:12,B,3410,409,2437246,3667,28.7,1021.7,56-614-135
2026-09-05 11:44:13,T,2863,67,2437585,1720,28.7,1021.7,56-614-135
2026-09-05 11:44:13,B,3411,167,2437644,3669,28.7,1021.7,56-614-135
2026-09-05 11:44:13,B,3412,207,2438015,3669,28.7,1021.7,56-614-135
2026-09-05 11:44:14,B,3413,375,2438779,3671,28.7,1021.7,56-614-135
2026-09-05 11:44:14,B,3414,55,2439202,3671,28.7,1021.7,56-614-135
